subject,trial_type,trial_num,ic_video_frame,hip_flex,knee_valg,trunk_lean,ankle_angle_sagittal,peak_vgrf_bw,loading_rate_bw_s,bw_N
sub17,DJ,1,677,6.010586286704531,10.265325910290915,3.4842692055016373,174.45464592221074,4.420137738941834,58.159707091339925,568.98
sub17,DJ,2,542,7.758072328782282,16.387800693532295,1.5844062650322428,172.8078105221249,5.780160382257504,122.98213579271285,568.98
sub17,DJ,3,570,6.681088129669291,12.725950932920032,1.888151261588281,177.91726936616823,4.0342114311877175,54.51637069172591,568.98
sub19,CMJ,1,774,8.207132810430874,7.665123085847437,2.8060808196125784,167.91570187949924,6.274235438682754,114.07700797605007,608.22
sub19,CMJ,2,1104,7.333268091493883,6.884077473566522,2.1852078349397557,164.63413822879772,5.501327371649033,85.95824018201614,608.22
sub19,CMJ,3,891,7.020716807249787,7.195481555588242,5.4212270917939325,171.59418895301138,4.4788336637031,52.69216074944824,608.22
sub19,DJ,1,594,9.692331516689467,16.625806223819637,1.8011595794941706,175.5982077839992,5.063137458228519,79.11152278482061,608.22
sub19,DJ,2,869,5.994576063955035,11.693030180243092,1.1693343882024652,176.23936350116207,5.317464056231708,108.51967461697365,608.22
sub19,DJ,3,808,4.986334418444801,9.565552260363937,7.047435200219395,161.43750698863732,4.271709914663896,74.94227920462976,608.22
sub21,CMJ,1,753,1.5257108880620178,10.885326247200734,2.57186621582043,175.9147189566921,3.703759274483254,45.16779603028359,814.23
sub21,CMJ,2,1610,3.5119960387455835,2.802411778615796,4.306981311339096,174.25980054388148,4.611824442024597,64.95527383133236,814.23
sub21,CMJ,3,864,1.035950494730123,7.803113587617716,1.416944070407642,175.89791323298905,4.182021142914548,48.62815282458777,814.23
sub21,DJ,1,746,4.022757169312261,12.972334013226508,2.639197250115197,171.77261775677553,6.16282413915985,88.04034484514071,814.23
sub21,DJ,2,771,2.197363183594775,13.284720932051453,4.177508750820602,173.98525262860892,4.528061986334098,59.57976297808023,814.23
sub21,DJ,3,555,18.306253279185267,16.664397399963107,2.3499872542771874,20.770509435448883,5.097719096953563,67.96958795938085,814.23
sub22,CMJ,1,671,5.8806101231722,10.149254341279342,0.637608450980084,170.9075923755382,3.317899713700943,40.462191630499305,588.6
sub22,CMJ,2,662,8.02024986961231,7.149685461797224,0.3736579146788266,171.66647927812335,2.9275183980658555,35.27130600079344,588.6
sub22,CMJ,3,582,7.533667223884633,10.894498780940188,1.975686242813956,174.84317088749484,5.184141801321462,79.75602771263786,588.6
sub22,DJ,1,463,8.983532578222128,10.553419375250254,2.901774942735316,170.23648403510057,3.739092895217465,60.307949922862335,588.6
sub22,DJ,2,678,7.181663633295122,9.63441059509454,3.8001058713003633,171.50135703039865,4.014599534714258,49.56295721869454,588.6
sub22,DJ,3,533,8.56451611862575,10.632662813570857,2.473854282345986,166.04381888080215,3.0552080720207377,46.2910313942536,588.6
sub23,CMJ,1,539,8.45060473835453,7.087441439599777,3.8054784499847565,171.45386868291507,3.5654772906357954,48.18212554913237,529.74
sub23,CMJ,2,426,6.048072919340283,10.594308251582886,2.7750000139681226,167.7712304683102,3.587728841625137,56.94807685119265,529.74
sub23,CMJ,3,466,5.665740543508608,6.854352344793687,7.554398106003617,165.64648493424784,3.9244653774729112,74.04651655609267,529.74
sub23,DJ,1,420,7.492439379628875,10.505795893707557,1.3568157616701453,162.49978221586088,4.198106443210938,71.15434649510065,529.74
sub23,DJ,2,411,7.146967680628499,12.134059282392123,1.25767241694104,165.23722812280243,4.782454176370719,83.9027048486091,529.74
sub23,DJ,3,430,7.815645341200918,15.367854312988285,0.9208617288394666,159.25499840348664,4.317684838243171,77.10151496862805,529.74
sub24,CMJ,1,905,5.882818237413691,16.348541375344663,0.7146950504344624,8.352247014287457,10.400681680492621,1040.068168049262,804.4200000000001
sub24,CMJ,2,876,4.906347291641271,15.536024767121443,1.339244774882178,25.904651466877937,11.708211909473595,975.6843257894662,804.4200000000001
sub24,CMJ,3,972,2.7186679274762646,15.856361118812805,2.9220925082361973,145.9988948769788,6.5505015939279225,262.02006375711693,804.4200000000001
sub24,DJ,1,64,24.424840856853436,15.124269510823378,11.233062559172842,15.2881169128602,5.036933667318145,139.9148240921707,804.4200000000001
sub24,DJ,2,426,24.342576135415047,16.395720416086252,16.843738487823067,18.73465727841447,10.032697702129328,1254.087212766166,804.4200000000001
sub24,DJ,3,633,6.699655058403069,17.22718119946338,4.629056780749981,48.67257332197852,7.795558688635911,866.1731876262124,804.4200000000001
sub26,CMJ,1,890,0.6443416260585842,12.071496572904229,3.933949978140143,123.85861909250399,7.288123481187199,260.29012432811425,686.7
sub26,CMJ,2,567,1.3317350205210148,9.210019450535647,1.6987433021207845,159.97789534237228,5.67914663625628,129.07151446037,686.7
sub26,CMJ,3,622,1.25209908834768,8.336433814407748,6.562623592518795,159.51720269506103,8.081450389430428,168.36354977980056,686.7
sub26,DJ,1,686,2.387551211770476,13.878482814986802,6.843828807322167,136.3981815474235,5.518515650597968,167.22774698781723,686.7
sub26,DJ,2,707,2.3948595563607507,13.935205234487306,6.233631032693505,149.5767428298994,4.460002854173492,120.54061768036466,686.7
sub26,DJ,3,332,2.142026662313976,16.99469998266055,0.30906917119321126,89.2474573786114,4.869231044490975,405.7692537075813,686.7
sub28,CMJ,1,953,5.610390954416063,12.466916985505257,4.475524552842353,6.345142347455507,7.180601036390641,478.70673575937604,941.76
sub28,CMJ,2,928,5.636769641024067,12.208131649271744,8.65576805960079,22.790090952220762,10.627781320015185,817.5216400011681,941.76
sub28,CMJ,3,850,6.371486124966817,15.08351068835378,5.312346635818898,26.2860179935783,7.64239327744728,477.649579840455,941.76
sub28,DJ,1,912,8.401451095554178,3.8227304799576034,9.65891960708395,178.08619770418412,5.477576040306182,94.44096621217555,941.76
sub28,DJ,2,994,4.579754846278464,13.341392224777325,2.09158717246233,177.3040229143898,5.135863417879158,91.71184674784209,941.76
sub28,DJ,3,778,5.571201219229254,14.78666453960818,1.1718620040558299,178.9140862829659,4.680008779688429,76.72145540472835,941.76
sub30,CMJ,1,585,8.30838420748937,9.137752580299015,2.9235034455172606,172.27668907095403,2.7960100864173194,28.242526125427467,784.8000000000001
sub30,CMJ,2,561,7.080425733942669,7.609637462379648,5.411289085131716,171.6487063223761,3.59033738193648,39.025406325396524,784.8000000000001
sub30,CMJ,3,650,7.780210918893992,8.456449046769334,3.1772955244203036,177.12559913953072,3.6999670372825877,38.94702144507987,784.8000000000001
sub30,DJ,1,568,6.114592718570975,7.898463388990813,5.275229958198943,167.41863064524316,4.30666426756817,53.16869466133543,784.8000000000001
sub30,DJ,2,115,8.550322972329122,8.834329059801231,1.107293450280011,177.5766731702729,3.1534754512992955,43.79827015693466,784.8000000000001
sub30,DJ,3,632,7.305704853365041,9.627502472606283,0.01719284986842959,167.59341144827448,3.7081831408081674,48.15822260789828,784.8000000000001
sub34,CMJ,1,341,4.867779168728532,11.929368657819598,3.084267061867591,143.88637576441297,4.996521766630891,97.97101503197825,765.1800000000001
sub34,CMJ,2,701,4.000905032021371,11.353547820480827,4.075051272889958,151.4522808868091,3.5451368915545194,48.56351906239068,765.1800000000001
sub34,CMJ,3,568,5.25316095280353,12.76017578646644,1.5246984474703518,149.4014503895008,4.82850207503259,77.87906572633209,765.1800000000001
sub34,DJ,1,559,6.737923895142313,10.62048707969073,0.3542376136779888,127.58977558049025,5.047945469121644,157.74829591005138,765.1800000000001
sub34,DJ,2,831,4.907300747676022,11.09658021245978,0.28091897189299325,145.50420632285113,4.482385884693797,78.63834885427714,765.1800000000001
sub34,DJ,3,886,3.9422611321762626,13.400102627454691,0.05920155982943152,146.86630244135716,4.4919836187441184,115.17906714728508,765.1800000000001
